"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	KLK6	0.9925738479083828	2.1259989887604065	0.0074261520916171775	0.014852304183234355	1	0.05557205331284731	0.0541792700217985	0.5603841321070233	-0.1195496229508197	842	598	244	80755	65157
No VS Yes	KLK7	0.9905952598469251	2.0225494447096763	0.009404740153074909	0.018809480306149817	1	0.067265844190666	0.06581057352307947	0.4649498327759199	-0.01868852459016389	842	598	244	80477.5	65434.5
No VS Yes	KLK8	0.9997604352505544	3.6204730313662576	2.395647494456421E-4	4.791294988912842E-4	1	0.0032522391068979676	0.003002220725371371	0.40324120603015046	-0.06774793388429748	839	597	242	83342.5	61131.5
No VS Yes	KLK9	0.5	0	0.5	1	1	1	1	0	0	835	593	242	71753	71753
No VS Yes	KLKB1	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
No VS Yes	KLKP1	0.5	0	0.5	1	1	1	1	0	0	837	595	242	71995	71995
No VS Yes	KLRA1	0.5456276751021626	0.07948451899677361	0.4543723248978374	0.9087446497956748	1	1	1	-0.02641068447412356	-0.05721311475409833	843	599	244	73445.5	72710.5
No VS Yes	KLRAQ1	0.9646776411999698	1.4363325150614081	0.03532235880003021	0.07064471760006041	1	0.19899466554277453	0.19679117027155585	0.015934891485809677	-0.03942622950819671	843	599	244	78874	67282
No VS Yes	KLRB1	0.27659640672431013	-0.41753412777787713	0.7234035932756899	0.5531928134486203	0.9012160185195502	1	0.98621259489436	-0.05080267558528426	-0.033627049180327835	842	598	244	71057.5	74854.5
No VS Yes	KLRC1	0.8533096316237543	0.7647050485053117	0.14669036837624577	0.29338073675249154	1	0.5967477812742584	0.6136542057899323	0.16513490725126478	0.00793032786885244	837	593	244	75686	69006
No VS Yes	KLRC2	0.9517296358762148	1.2948330181047452	0.0482703641237851	0.0965407282475702	1	0.25442452399130083	0.25363723820277695	0.1872888513513515	0.002131147540983636	836	592	244	77499	66949
No VS Yes	KLRC3	0.835822923276792	0.7068017594194311	0.16417707672320803	0.32835415344641605	1	0.6468360967495765	0.6670860004763329	0.14594435075885343	0.01403688524590161	837	593	244	75453	69239
No VS Yes	KLRC4	0.5	0	0.5	1	1	1	1	0	0	832	588	244	71736	71736
No VS Yes	KLRD1	0.9986357257354248	2.8645054119270568	0.0013642742645751937	0.0027285485291503875	1	0.013844530223729444	0.013082266677293517	0.14851170568561872	-0.1816598360655738	842	598	244	82550.5	63361.5
No VS Yes	KLRF1	0.5	0	0.5	1	1	1	1	0	0	833	589	244	71858	71858
No VS Yes	KLRG1	0.4229048325812237	-0.1350047896449279	0.5770951674187763	0.8458096651624474	1	1	1	0.049482470784641124	0.028565573770491796	843	599	244	72454.5	73701.5
No VS Yes	KLRG2	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	KLRK1	0.8869234481738623	0.8945135801997511	0.11307655182613774	0.22615310365227548	1	0.4924472956959198	0.5025980797385121	0.12377090301003353	-0.084733606557377	842	598	244	76831	69081
